
=====================================================================================================================
                                          Overall     BaseGame     FreeGame  FreeGameAll   MysteryWin
=====================================================================================================================
[MY x05]           10       79763.600         907.000        -906.000     9070.000000        0.002387        0.001254
[MY x06]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x07]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x08]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x09]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x10]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x11]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x12]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x13]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x14]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x15]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[  All ]       797636       85278.115        2900.267       -2894.267        48184860       12.680226      100.000000
=====================================================================================================================
=====================================================================================================================
==========================================TopUpAdditionMysteryWin====================================================
=====================================================================================================================
PayComboId      Hits        Pull/Hit         Avg_Pay         Net_Pay        TotalPay    Contri(Pctg)      Hit(Pctg)
=====================================================================================================================
[MY x00]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x01]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x02]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x03]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x04]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x05]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x06]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x07]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x08]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x09]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x10]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x11]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x12]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x13]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x14]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[MY x15]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[  Avg ]            0           0.000       -nan(ind)       -nan(ind)               0        0.000000        0.000000
=====================================================================================================================
=====================================================================================================================
======================================TopUpAdditionMultipleMysteryWin================================================
=====================================================================================================================
TotalBallCount      Hits        Pull/Hit         Avg_Per         Net_Per        TotalPer    Contri(Pctg)      Hit(Pctg)
=====================================================================================================================
[BALL x000]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x001]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x002]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x003]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x004]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x005]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x006]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x007]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x008]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x009]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x010]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x011]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x012]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x013]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x014]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[BALL x015]            0           0.000           0.000           0.000        0.000000        0.000000        0.000000
[     Avg ]            0           0.000       -nan(ind)       -nan(ind)               0        0.000000        0.000000
=====================================================================================================================
==========================================TopUpBallCountCondition====================================================
=====================================================================================================================
BallCondition       Hits        TotalPay    Contri(Pctg)      Hit(Pctg)
[06->06]               0               0        0.000000       -nan(ind)
[06->07]               0               0        0.000000       -nan(ind)
[06->08]               0               0        0.000000       -nan(ind)
[06->09]               0               0        0.000000       -nan(ind)
[06->10]               0               0        0.000000       -nan(ind)
[06->11]               0               0        0.000000       -nan(ind)
[06->12]               0               0        0.000000       -nan(ind)
[06->13]               0               0        0.000000       -nan(ind)
[06->14]               0               0        0.000000       -nan(ind)
[06->15]               0               0        0.000000       -nan(ind)
[07->07]               0               0        0.000000       -nan(ind)
[07->08]               0               0        0.000000       -nan(ind)
[07->09]               0               0        0.000000       -nan(ind)
[07->10]               0               0        0.000000       -nan(ind)
[07->11]               0               0        0.000000       -nan(ind)
[07->12]               0               0        0.000000       -nan(ind)
[07->13]               0               0        0.000000       -nan(ind)
[07->14]               0               0        0.000000       -nan(ind)
[07->15]               0               0        0.000000       -nan(ind)
[08->08]               0               0        0.000000       -nan(ind)
[08->09]               0               0        0.000000       -nan(ind)
[08->10]               0               0        0.000000       -nan(ind)
[08->11]               0               0        0.000000       -nan(ind)
[08->12]               0               0        0.000000       -nan(ind)
[08->13]               0               0        0.000000       -nan(ind)
[08->14]               0               0        0.000000       -nan(ind)
[08->15]               0               0        0.000000       -nan(ind)
[09->09]               0               0        0.000000       -nan(ind)
[09->10]               0               0        0.000000       -nan(ind)
[09->11]               0               0        0.000000       -nan(ind)
[09->12]               0               0        0.000000       -nan(ind)
[09->13]               0               0        0.000000       -nan(ind)
[09->14]               0               0        0.000000       -nan(ind)
